# FrenchMaster cards source (tab-separated)
## columns: id	french	english	partOfSpeech	grade	unit	gender	examUsage	tags	examples
# examples format: french=>english || french=>english

g10s1_01	bonjour	hello / good morning	phrase	G10S1	1		Formal greeting used in written and oral exams as opening.	greetings|basic	Bonjour, comment allez-vous ?=>Hello, how are you? || Bonjour à tous !=>Good morning everyone!
g10s1_12	un lycée	a high school	noun	G10S1	2	masculine	Specific to French secondary education (ages 15-18).	places|school	Mon lycée est très grand.=>My high school is very large. || Je vais au lycée chaque matin.=>I go to high school every morning.
g10s1_13	un lycéen	a high school student (m)	noun	G10S1	3	masculine	A male student attending a lycée.	people|school	Marc est un lycéen.=>Marc is a high school student. || Les lycéens préparent le bac.=>High schoolers are preparing for the baccalaureate.
g10s1_14	un copain	a friend / boyfriend	noun	G10S1	3	masculine	Casual synonym for friend; context determines if romantic.	people	C'est mon copain de foot.=>He's my football buddy. || Je sors avec mes copains.=>I'm going out with my friends.
g10s1_15	un cybercopain	an online friend (m)	noun	G10S1	4	masculine	Modern term for a friend met via the internet.	people|tech	J'ai un cybercopain français.=>I have a French online friend. || Je tchatte avec mon cybercopain.=>I am chatting with my online friend.
g10s1_16	un cybercafé	an internet cafe	noun	G10S1	4	masculine	Common location in dialogues about technology and hobbies.	places|tech	Je vais au cybercafé.=>I am going to the internet cafe. || Le cybercafé est ouvert le soir.=>The internet cafe is open in the evening.
g10s1_17	un voisin	a neighbor (m)	noun	G10S1	1	masculine	Used in social descriptions and local community topics.	people	Mon voisin est très gentil.=>My neighbor is very kind. || Je parle souvent à mon voisin.=>I often talk to my neighbor.
g10s1_18	un ami	a friend (m)	noun	G10S1	1	masculine	Standard term for a male friend; plural is "des amis".	people	C'est mon meilleur ami.=>He is my best friend. || J'aime sortir avec mon ami.=>I like going out with my friend.
g10s1_19	un professeur	a teacher (m)	noun	G10S1	2	masculine	Often shortened to "un prof" in casual speech.	people|school	Le professeur explique la leçon.=>The teacher explains the lesson. || Le professeur est dans la classe.=>The teacher is in the classroom.
g10s1_20	un nom	a last name	noun	G10S1	2	masculine	Frequently used in personal identity forms and dialogues.	identity	Quel est ton nom de famille ?=>What is your last name? || Écris ton nom sur la feuille.=>Write your name on the sheet.
g10s1_21	un prénom	a first name	noun	G10S1	3	masculine	Used alongside "nom" for full identity identification.	identity	Mon prénom est Thomas.=>My first name is Thomas. || Quel est son prénom ?=>What is his first name?
g10s1_22	un quartier	a neighborhood	noun	G10S1	3	masculine	Important for describing your city or living area.	places	J'habite dans un beau quartier.=>I live in a beautiful neighborhood. || Le quartier est très calme.=>The neighborhood is very quiet.
g10s1_23	des jumeaux	twins (m)	noun	G10S1	4	masculine	Refers to two male twins or a mixed pair.	people|family	Ils sont des jumeaux.=>They are twins. || Mes frères sont des jumeaux.=>My brothers are twins.
g10s1_24	une amie	a friend (f)	noun	G10S1	4	feminine	Feminine form of "ami"; plural is "des amies".	people	C'est une amie de l'école.=>She is a friend from school. || J'ai une amie très intelligente.=>I have a very smart friend.
g10s1_25	une camarade	a classmate (f)	noun	G10S1	1	feminine	Feminine peer in a school or club environment.	people|school	Elle est une camarade sympa.=>She is a nice classmate. || Ma camarade m'aide avec les devoirs.=>My classmate helps me with homework.
g10s1_26	une voisine	a neighbor (f)	noun	G10S1	1	feminine	Someone who lives nearby; note the added "e".	people	Ma voisine habite à côté.=>My neighbor lives next door. || Je connais bien ma voisine.=>I know my neighbor well.
g10s1_27	une copine	a friend / girlfriend	noun	G10S1	2	feminine	Casual term; can mean female friend or girlfriend.	people	C'est ma copine de basket.=>She's my basketball friend. || Ma copine s'appelle Sarah.=>My friend's name is Sarah.
g10s1_28	une cybercopine	an online friend (f)	noun	G10S1	2	feminine	Modern term for a female friend met online.	people|tech	Ma cybercopine habite à Paris.=>My online friend lives in Paris. || J'écris un mail à ma cybercopine.=>I'm writing an email to my online friend.
g10s1_29	une élève	a student (f)	noun	G10S1	3	feminine	Feminine version of a pupil/student.	people|school	C'est une nouvelle élève.=>She is a new student. || L'élève écoute le professeur.=>The student listens to the teacher.
g10s1_30	une professeure	a teacher (f)	noun	G10S1	3	feminine	Standard feminine form; often "une prof" informally.	people|school	La professeure est patiente.=>The teacher is patient. || C'est une excellente professeure.=>She is an excellent teacher.
g10s1_31	une adresse	an address	noun	G10S1	4	feminine	Essential for sharing location or contact info.	identity	Quelle est ton adresse ?=>What is your address? || J'écris mon adresse sur la lettre.=>I am writing my address on the letter.
g10s1_32	une couleur	a color	noun	G10S1	4	feminine	Key for describing objects and personal preferences.	general	Le bleu est ma couleur préférée.=>Blue is my favorite color. || Quelle couleur aimes-tu ?=>What color do you like?
g10s1_33	une affaire	a thing / item	noun	G10S1	1	feminine	Can mean belongings, business, or a specific case.	general	C'est mon affaire personnelle.=>It's my personal business. || Range tes affaires !=>Put your things away!
g10s1_34	des jumelles	twins (f)	noun	G10S1	1	feminine	Refers specifically to two female twins.	people|family	Elles sont des jumelles.=>They are twins. || Les jumelles portent les mêmes vêtements.=>The twins wear the same clothes.
g10s1_35	présenter	to present / introduce	verb	G10S1	2		Used to introduce people to each other.	verbs	Je présente mon ami à ma mère.=>I introduce my friend to my mother. || Le directeur présente le nouveau prof.=>The principal introduces the new teacher.
g10s1_36	se présenter	to introduce oneself	verb	G10S1	2		Reflexive verb essential for oral self-introductions.	verbs|identity	Je me présente : je m'appelle Léo.=>I introduce myself: my name is Leo. || Elle se présente à la classe.=>She introduces herself to the class.
g10s1_37	identifier	to identify	verb	G10S1	3		Commonly used in instruction sets and exam tasks.	verbs	On peut identifier les personnes.=>We can identify the people. || Identifie l'objet sur l'image.=>Identify the object in the picture.
g10s1_38	manger	to eat	verb	G10S1	3		Basic -er verb; important for daily routine topics.	verbs	J'aime manger de la pizza.=>I like eating pizza. || Nous mangeons à midi.=>We eat at noon.
g10s1_39	parler	to speak	verb	G10S1	4		Used for languages and verbal communication.	verbs|communication	Je parle français et anglais.=>I speak French and English. || Il parle avec son père.=>He is speaking with his father.
g10s1_40	demander	to ask	verb	G10S1	4		Used for asking questions or requesting items.	verbs|communication	Je demande l'heure.=>I am asking for the time. || Elle demande un crayon au prof.=>She asks the teacher for a pencil.
g10s1_41	saluer	to greet	verb	G10S1	1		Refers to the act of saying hello or waving.	verbs|greetings	Il faut saluer les voisins.=>You must greet the neighbors. || Je salue mes amis le matin.=>I greet my friends in the morning.
g10s1_42	décrire	to describe	verb	G10S1	1		Crucial for written essays describing people or places.	verbs|communication	Peux-tu décrire ton ami ?=>Can you describe your friend? || Je décris mon nouveau quartier.=>I am describing my new neighborhood.
g10s1_43	beau	beautiful / handsome	adjective	G10S1	2		Masc. singular; becomes "belle" in feminine.	adjectives	C'est un beau garçon.=>He is a handsome boy. || Quel beau paysage !=>What a beautiful landscape!
g10s1_44	beaucoup	a lot / many	adverb	G10S1	2		Used to express intensity or large quantities.	adverbs	J'aime beaucoup le sport.=>I like sports a lot. || J'ai beaucoup de livres.=>I have a lot of books.
g10s1_45	Enchanté(e)	Nice to meet you	phrase	G10S1	3		Add "e" if the speaker is female.	greetings	Enchanté de faire votre connaissance.=>Pleased to meet you. || Enchantée, je m'appelle Alice.=>Nice to meet you, my name is Alice.
g10s1_46	mais	but	conjunction	G10S1	3		Used to connect contrasting ideas in a sentence.	conjunctions	Je suis timide, mais sympa.=>I am shy, but nice. || Il est intelligent mais paresseux.=>He is smart but lazy.
g10s1_47	avec	with	preposition	G10S1	4		Indicates company or the use of an instrument.	prepositions	Je vais au lycée avec mon ami.=>I go to school with my friend. || J'écris avec un stylo.=>I am writing with a pen.
g10s1_48	prendre congé	to take leave	verb	G10S1	4		A formal way of saying goodbye or leaving.	verbs|greetings	Il est tard, je dois prendre congé.=>It is late, I must take my leave. || Ils prennent congé après le dîner.=>They say goodbye after dinner.
g10s1_49	bavard(e)	chatty	adjective	G10S1	1		Describes someone who talks a lot.	adjectives|personality	Ma sœur est très bavarde.=>My sister is very talkative. || Il n'est pas timide, il est bavard.=>He isn't shy, he is chatty.
g10s1_50	intéressant(e)	interesting	adjective	G10S1	1		Commonly used to describe hobbies and media.	adjectives	Ce livre est très intéressant.=>This book is very interesting. || C'est une activité intéressante.=>It is an interesting activity.
g10s1_51	patient(e)	patient	adjective	G10S1	2		Used to describe teachers, parents, or doctors.	adjectives|personality	Le prof est très patient.=>The teacher is very patient. || Sois patient, s'il te plaît.=>Be patient, please.
g10s1_52	impatient(e)	impatient	adjective	G10S1	2		Antonym of "patient"; describes a lack of calm.	adjectives|personality	Ne sois pas si impatient !=>Don't be so impatient! || Elle est impatiente de partir.=>She is impatient to leave.
g10s1_53	intelligent(e)	intelligent	adjective	G10S1	3		Describes mental ability; cognate with English.	adjectives|personality	C'est un élève intelligent.=>He is an intelligent student. || Elle est très intelligente.=>She is very smart.
g10s1_54	souriant(e)	smiling	adjective	G10S1	3		Used to describe a cheerful appearance or nature.	adjectives|personality	Elle est toujours souriante.=>She is always smiling. || Un visage souriant est agréable.=>A smiling face is pleasant.
g10s1_55	gourmand(e)	greedy (for food)	adjective	G10S1	4		Often positive in French; someone who loves good food.	adjectives|personality	Je suis gourmand, j'adore les gâteaux.=>I love food, I love cakes. || L'enfant est très gourmand.=>The child is very fond of sweets.
g10s1_56	génial(e)	great / brilliant	adjective	G10S1	4		Very common informal adjective for "awesome".	adjectives	Ton idée est géniale !=>Your idea is great! || C'est un film génial.=>It's a brilliant movie.
g10s1_57	ordonné(e)	organized	adjective	G10S1	1		Describes a person who is tidy and methodical.	adjectives|personality	Mon frère est très ordonné.=>My brother is very organized. || Elle a un bureau ordonné.=>She has a tidy desk.
g10s1_58	désordonné(e)	disorganized	adjective	G10S1	1		Describes a person or a messy space.	adjectives|personality	Ma chambre est désordonnée.=>My room is messy. || Il est un peu désordonné.=>He is a bit disorganized.
g10s1_59	timide	shy	adjective	G10S1	2		Ends in "e" for both masculine and feminine.	adjectives|personality	Il est timide avec les filles.=>He is shy with girls. || Je ne suis pas très timide.=>I am not very shy.
g10s1_60	sociable	sociable	adjective	G10S1	2		Describes someone who enjoys the company of others.	adjectives|personality	Elle est très sociable, elle a beaucoup d'amis.=>She is very sociable, she has many friends. || Un élève sociable parle à tout le monde.=>A sociable student talks to everyone.
g10s1_61	serviable	helpful	adjective	G10S1	3		Describes someone ready to help or assist.	adjectives|personality	Mon voisin est très serviable.=>My neighbor is very helpful. || C'est un garçon poli et serviable.=>He is a polite and helpful boy.
g10s1_62	sincère	sincere / honest	adjective	G10S1	3		Used to describe true friends or feelings.	adjectives|personality	C'est un ami sincère.=>He is a sincere friend. || Son excuse semble sincère.=>His excuse seems honest.
g10s1_63	romantique	romantic	adjective	G10S1	4		Describes someone who loves romance or art.	adjectives|personality	Il aime les films romantiques.=>He likes romantic movies. || Elle est très romantique.=>She is very romantic.
g10s1_64	sympathique (sympa)	nice / friendly	adjective	G10S1	4		Often shortened to "sympa" in daily conversation.	adjectives|personality	Le prof de sport est sympa.=>The gym teacher is nice. || Ils sont très sympathiques.=>They are very friendly.
g10s1_65	magnifique	magnificent / wonderful	adjective	G10S1	1		Stronger than "beau" or "belle".	adjectives	C'est un paysage magnifique.=>It's a magnificent landscape. || Ta robe est magnifique !=>Your dress is wonderful!
g10s1_66	super	super / great	adjective	G10S1	1		Invariable; does not change in plural or feminine.	adjectives	C'est un film super !=>It's a great movie! || Tes notes sont super.=>Your grades are great.
g10s1_67	mignon(ne)	cute	adjective	G10S1	2		Note the doubled "n" in the feminine form.	adjectives	Ton petit chat est mignon.=>Your little cat is cute. || Elle a une mignonne petite sœur.=>She has a cute little sister.
g10s1_68	sérieux/sérieuse	serious	adjective	G10S1	2		Masc. ends in -x; Fem. ends in -se.	adjectives|personality	C'est une fille sérieuse.=>She is a serious girl. || Sois sérieux un instant !=>Be serious for a moment!
g10s1_69	nerveux/nerveuse	nervous	adjective	G10S1	3		Refers to being anxious or easily agitated.	adjectives|personality	Il est nerveux avant l'examen.=>He is nervous before the exam. || Elle est souvent nerveuse.=>She is often nervous.
g10s1_70	gentil/gentille	kind	adjective	G10S1	3		Double the "l" for the feminine form.	adjectives|personality	Elle est très gentille avec moi.=>She is very kind to me. || C'est un gentil garçon.=>He is a kind boy.
g10s1_71	doux/douce	gentle / soft	adjective	G10S1	4		Irregular feminine form "douce".	adjectives|personality	Ma mère est très douce.=>My mother is very gentle. || Le chat a un pelage doux.=>The cat has soft fur.
g10s1_72	actif/active	active	adjective	G10S1	4		-f changes to -ve in the feminine form.	adjectives|personality	Il est très actif en classe.=>He is very active in class. || Ma grand-mère reste très active.=>My grandmother stays very active.
g10s1_73	je m'appelle	my name is	verb	G10S1	1		Conjugated form of "s'appeler" (first person).	verbs|identity	Je m'appelle Ahmed.=>My name is Ahmed. || Je m'appelle Marie, et toi ?=>My name is Marie, and you?
g10s1_74	tu t'appelles	your name is	verb	G10S1	1		Conjugated form of "s'appeler" (second person).	verbs|identity	Comment tu t'appelles ?=>What is your name? || Tu t'appelles comment ?=>What's your name?
g10s1_75	il/elle s'appelle	his/her name is	verb	G10S1	2		Conjugated form of "s'appeler" (third person).	verbs|identity	Elle s'appelle Sarah.=>Her name is Sarah. || Il s'appelle Marc.=>His name is Marc.
g10s1_76	nous nous appelons	our names are	verb	G10S1	2		Conjugated form of "s'appeler" (plural).	verbs|identity	Nous nous appelons les "pros".=>We call ourselves the "pros". || Nous nous appelons Paul et Jacques.=>Our names are Paul and Jacques.
g10s1_77	vous vous appelez	your name is	verb	G10S1	3		Formal or plural form of "s'appeler".	verbs|identity	Comment vous vous appelez ?=>What is your name? || Vous vous appelez Monsieur Colin ?=>Your name is Mr. Colin?
g10s1_78	ils/elles s'appellent	their names are	verb	G10S1	3		Conjugated form of "s'appeler" (plural third person).	verbs|identity	Ils s'appellent Marc et Léo.=>Their names are Marc and Leo. || Elles s'appellent Marie et Anna.=>Their names are Marie and Anna.
g10s1_79	j'habite	I live	verb	G10S1	4		Conjugated form of "habiter"; "h" is silent.	verbs|places	J'habite à Paris.=>I live in Paris. || J'habite dans une grande maison.=>I live in a big house.
g10s1_80	tu habites	you live	verb	G10S1	4		Conjugated form of "habiter" (informal).	verbs|places	Où tu habites ?=>Where do you live? || Tu habites près de l'école ?=>Do you live near the school?
g10s1_81	il/elle habite	he/she lives	verb	G10S1	1		Conjugated form of "habiter" (third person).	verbs|places	Il habite dans un quartier calme.=>He lives in a quiet neighborhood. || Elle habite à Lyon.=>She lives in Lyon.
g10s1_82	nous habitons	we live	verb	G10S1	1		Conjugated form of "habiter" (plural).	verbs|places	Nous habitons au Caire.=>We live in Cairo. || Nous habitons ici depuis un an.=>We have lived here for a year.
g10s1_83	vous habitez	you live	verb	G10S1	2		Formal or plural form of "habiter".	verbs|places	Où habitez-vous ?=>Where do you live? || Vous habitez dans cet immeuble ?=>Do you live in this building?
g10s1_84	ils/elles habitent	they live	verb	G10S1	2		Conjugated form of "habiter" (plural third person).	verbs|places	Elles habitent à Lyon.=>They live in Lyon. || Ils habitent en France.=>They live in France.
g10s1_85	je suis	I am	verb	G10S1	3		First person singular of "être"; irregular.	verbs|grammar	Je suis lycéen.=>I am a high school student. || Je suis français.=>I am French.
g10s1_86	tu es	you are	verb	G10S1	3		Second person singular of "être" (informal).	verbs|grammar	Tu es très sympa.=>You are very nice. || Tu es prêt ?=>Are you ready?
g10s1_87	il/elle est	he/she is	verb	G10S1	4		Third person singular of "être".	verbs|grammar	Il est ordonné.=>He is organized. || Elle est absente aujourd'hui.=>She is absent today.
g10s1_88	nous sommes	we are	verb	G10S1	4		First person plural of "être".	verbs|grammar	Nous sommes amis.=>We are friends. || Nous sommes en classe.=>We are in class.
g10s1_89	vous êtes	you are	verb	G10S1	1		Formal or plural form of "être".	verbs|grammar	Vous êtes prêts ?=>Are you ready? || Vous êtes Monsieur Legrand ?=>Are you Mr. Legrand?
g10s1_90	ils/elles sont	they are	verb	G10S1	1		Third person plural of "être".	verbs|grammar	Ils sont jumeaux.=>They are twins. || Elles sont contentes.=>They are happy.
g10s1_91	j'ai	I have	verb	G10S1	2		First person singular of "avoir"; used for age.	verbs|grammar	J'ai seize ans.=>I am sixteen years old. || J'ai un frère.=>I have a brother.
g10s1_92	tu as	you have	verb	G10S1	2		Second person singular of "avoir".	verbs|grammar	Tu as un stylo ?=>Do you have a pen? || Tu as faim ?=>Are you hungry?
g10s1_93	il/elle a	he/she has	verb	G10S1	3		Third person singular of "avoir".	verbs|grammar	Elle a un sac rouge.=>She has a red bag. || Il a cours de maths.=>He has math class.
g10s1_94	nous avons	we have	verb	G10S1	3		First person plural of "avoir".	verbs|grammar	Nous avons congé demain.=>We have a day off tomorrow. || Nous avons faim.=>We are hungry.
g10s1_95	vous avez	you have	verb	G10S1	4		Formal or plural form of "avoir".	verbs|grammar	Avez-vous faim ?=>Are you hungry? || Vous avez un nouveau livre ?=>Do you have a new book?
g10s1_96	ils/elles ont	they have	verb	G10S1	4		Third person plural of "avoir".	verbs|grammar	Ils ont un test de maths.=>They have a math test. || Elles ont un chat.=>They have a cat.
g10s1_97	un jour	a day	noun	G10S1	1	masculine	Refers to a 24-hour period or specific day of week.	time	Lundi est un jour d'école.=>Monday is a school day. || Quel jour sommes-nous ?=>What day is it?
g10s1_98	un mois	a month	noun	G10S1	1	masculine	Singular and plural are spelled the same.	time	Janvier est le premier mois.=>January is the first month. || Il y a douze mois.=>There are twelve months.
g10s1_99	un objet	an object	noun	G10S1	2	masculine	A general term for any physical item.	objects	C'est un objet ancien.=>It is an ancient object. || Décris cet objet.=>Describe this object.
g10s1_100	un kit	a kit / set	noun	G10S1	2	masculine	Often used for craft, first aid, or school sets.	objects	J'ai un kit de dessin.=>I have a drawing kit. || C'est un kit de survie.=>It's a survival kit.
g10s1_101	un invité	a guest	noun	G10S1	3	masculine	Add an "e" for a female guest (une invitée).	people	On attend un invité.=>We are expecting a guest. || J'ai beaucoup d'invités.=>I have many guests.
g10s1_102	un lieu	a place	noun	G10S1	3	masculine	Plural form is "lieux".	places	C'est un lieu magnifique.=>It is a magnificent place. || Quel est ton lieu préféré ?=>What is your favorite place?
g10s1_103	un cadeau	a gift	noun	G10S1	4	masculine	Plural form is "cadeaux".	objects	Voici un cadeau pour toi.=>Here is a gift for you. || J'achète un cadeau.=>I am buying a gift.
g10s1_104	un anniversaire	a birthday	noun	G10S1	4	masculine	Also used for anniversaries of events.	time|events	C'est l'anniversaire de maman.=>It is mom's birthday. || Bon anniversaire !=>Happy birthday!
g10s1_105	le week-end	the weekend	noun	G10S1	1	masculine	Commonly used for talking about leisure plans.	time	J'adore le week-end.=>I love the weekend. || On sort ce week-end.=>We are going out this weekend.
g10s1_106	un bracelet brésilien	a friendship bracelet	noun	G10S1	1	masculine	A specific colorful woven bracelet.	objects	Elle porte un bracelet brésilien.=>She is wearing a friendship bracelet. || Je fabrique un bracelet brésilien.=>I am making a friendship bracelet.
g10s1_107	un lecteur mp3	an MP3 player	noun	G10S1	2	masculine	Technology item used for listening to music.	objects|tech	J'écoute de la musique avec mon lecteur mp3.=>I listen to music with my MP3 player. || Mon lecteur mp3 est bleu.=>My MP3 player is blue.
g10s1_108	un porte-clés	a keychain	noun	G10S1	2	masculine	Compound noun; keeps the "s" in "clés".	objects	J'ai perdu mon porte-clés.=>I lost my keychain. || C'est un porte-clés sympa.=>It's a nice keychain.
g10s1_109	un contenu	a content	noun	G10S1	3	masculine	Refers to what is inside a container or media.	general	Quel est le contenu de ton sac ?=>What is the content of your bag? || Le contenu est intéressant.=>The content is interesting.
g10s1_110	des jeux vidéo	video games	noun	G10S1	3	masculine	"Vidéo" is invariable in this plural noun.	interests	Je joue aux jeux vidéo.=>I play video games. || J'adore les jeux vidéo.=>I love video games.
g10s1_111	les loisirs	hobbies / leisure	noun	G10S1	4	masculine	Always plural when referring to free time activities.	interests	Quels sont tes loisirs ?=>What are your hobbies? || Le sport fait partie de mes loisirs.=>Sports are part of my hobbies.
g10s1_112	les goûts	tastes / likes	noun	G10S1	4	masculine	Essential for discussing preferences.	interests|identity	On a les mêmes goûts.=>We have the same tastes. || Chacun ses goûts !=>To each their own!
g10s1_113	une date	a date	noun	G10S1	1	feminine	Refers to a specific day on the calendar.	time	Quelle est la date d'aujourd'hui ?=>What is the date today? || Écris la date en haut.=>Write the date at the top.
g10s1_114	une naissance	a birth	noun	G10S1	1	feminine	Related to "naître" (to be born).	time|identity	C'est ma date de naissance.=>It is my date of birth. || On annonce une naissance.=>A birth is announced.
g10s1_115	une année	a year	noun	G10S1	2	feminine	Used for the duration or a specific calendar year.	time	Bonne année !=>Happy New Year! || L'année scolaire est longue.=>The school year is long.
g10s1_116	une semaine	a week	noun	G10S1	2	feminine	Period of seven days.	time	Il y a sept jours dans une semaine.=>There are seven days in a week. || Je pars la semaine prochaine.=>I'm leaving next week.
g10s1_117	une fête	a party	noun	G10S1	3	feminine	Can mean a social gathering or a holiday.	events	Je t'invite à ma fête.=>I'm inviting you to my party. || C'est la fête nationale.=>It is the national holiday.
g10s1_118	la peinture	painting	noun	G10S1	3	feminine	Refers to the activity or the substance.	interests|art	J'aime la peinture.=>I love painting. || La peinture est sur le mur.=>The paint is on the wall.
g10s1_119	la lecture	reading	noun	G10S1	4	feminine	Common interest involving books or magazines.	interests	La lecture est sa passion.=>Reading is his passion. || J'adore la lecture.=>I love reading.
g10s1_120	la musique	music	noun	G10S1	4	feminine	A universal topic for expressing likes.	interests	J'écoute de la musique rock.=>I listen to rock music. || Tu aimes la musique ?=>Do you like music?
g10s1_121	une activité	an activity	noun	G10S1	1	feminine	General term for things you do for fun or work.	interests	C'est une activité sportive.=>It is a sports activity. || Quelles sont tes activités ?=>What are your activities?
g10s1_122	une passion	a passion	noun	G10S1	1	feminine	Something you love intensely.	interests	Le dessin est ma passion.=>Drawing is my passion. || Il parle avec passion.=>He speaks with passion.
g10s1_123	une occasion	an occasion	noun	G10S1	2	feminine	Used for special events or opportunities.	general	C'est une occasion spéciale.=>It is a special occasion. || C'est l'occasion de sortir.=>It's an opportunity to go out.
g10s1_124	une invitation	an invitation	noun	G10S1	2	feminine	Required to attend a party or event.	events	Merci pour l'invitation.=>Thank you for the invitation. || J'envoie une invitation.=>I am sending an invitation.
g10s1_125	la récréation	recess / break	noun	G10S1	3	feminine	Commonly shortened to "la récré".	school|time	On joue pendant la récré.=>We play during recess. || C'est l'heure de la récréation.=>It is time for recess.
g10s1_126	les vacances	vacation	noun	G10S1	3	feminine	Always used in the plural form.	time	Je pars en vacances.=>I am going on vacation. || Vive les vacances !=>Long live vacation!
g10s1_127	adorer	to adore / love	verb	G10S1	4		Stronger preference than "aimer".	verbs|interests	J'adore le français !=>I love French! || Il adore le chocolat.=>He loves chocolate.
g10s1_128	aimer	to love / like	verb	G10S1	4		Basic verb for expressing affection or preference.	verbs|interests	J'aime le chocolat.=>I like chocolate. || Elle aime son frère.=>She loves her brother.
g10s1_129	préférer	to prefer	verb	G10S1	1		The accents change in some conjugated forms.	verbs|interests	Je préfère le bleu au rouge.=>I prefer blue over red. || Quel sport préfères-tu ?=>Which sport do you prefer?
g10s1_130	détester	to hate	verb	G10S1	1		Opposite of "adorer" or "aimer".	verbs|interests	Je déteste les devoirs.=>I hate homework. || Il déteste le vent.=>He hates the wind.
g10s1_131	inviter	to invite	verb	G10S1	2		Used for social gatherings.	verbs|events	Je veux t'inviter chez moi.=>I want to invite you to my place. || Elle invite ses amis.=>She invites her friends.
g10s1_132	féliciter	to congratulate	verb	G10S1	2		Used for successes or birthdays.	verbs|communication	Je te félicite pour ton succès.=>I congratulate you on your success. || Félicite Marc pour moi.=>Congratulate Marc for me.
g10s1_133	organiser	to organize	verb	G10S1	3		Used for events or tidying spaces.	verbs	Elle organise une fête.=>She is organizing a party. || Il organise son bureau.=>He organizes his desk.
g10s1_134	collectionner	to collect	verb	G10S1	3		A common verb for hobby descriptions.	verbs|interests	Il collectionne les timbres.=>He collects stamps. || Ma sœur collectionne les poupées.=>My sister collects dolls.
g10s1_135	passer	to spend / pass	verb	G10S1	4		Used for time or physical passing.	verbs|time	Je passe du temps avec mes amis.=>I spend time with my friends. || Le temps passe vite.=>Time passes quickly.
g10s1_136	exprimer	to express	verb	G10S1	4		Used for opinions or feelings.	verbs|communication	Elle exprime ses goûts.=>She expresses her tastes. || Exprime ton opinion.=>Express your opinion.
g10s1_137	ranger	to tidy / organize	verb	G10S1	1		Important: keep the "e" in "nous rangeons".	verbs	Je doit ranger ma chambre.=>I must tidy my room. || Range ton sac !=>Tidy your bag!
g10s1_138	rangé(e)	tidy / organized	adjective	G10S1	1		Describes a neat space or object.	adjectives	Ma trousse est bien rangée.=>My pencil case is well organized. || Sa chambre est toujours rangée.=>His room is always tidy.
g10s1_139	manuel(le)	manual / hand-made	adjective	G10S1	2		Refers to activities done with hands.	adjectives	C'est une activité manuelle.=>It is a manual activity. || Il est très manuel.=>He is very good with his hands.
g10s1_140	comme	like / as	conjunction	G10S1	2		Used for comparisons.	conjunctions	Il est intelligent comme son père.=>He is smart like his father. || Fais comme moi.=>Do as I do.
g10s1_141	joyeux(joyeuse)	happy / joyful	adjective	G10S1	3		Commonly used in holiday greetings.	adjectives	Joyeux anniversaire !=>Happy birthday! || C'est une fille joyeuse.=>She is a joyful girl.
g10s1_142	chez moi	at my place	preposition	G10S1	3		Refers to one's home.	prepositions|places	Viens chez moi à 18h.=>Come to my place at 6 PM. || Je reste chez moi.=>I am staying at home.
